Town,Area
Andover,15.5
Ansonia,6.0
Ashford,38.8
Avon,23.1
Barkhamsted,36.2
Beacon Falls,9.8
Berlin,26.4
Bethany,21.0
Bethel,16.8
Bethlehem,19.4
Bloomfield,26.0
Bolton,14.4
Bozrah,20.0
Branford,22.0
Bridgeport,16.0
Bridgewater,16.2
Bristol,26.5
Brookfield,19.8
Brooklyn,29.0
Burlington,29.8
Canaan,33.0
Canterbury,39.9
Canton,24.6
Chaplin,19.4
Cheshire,32.9
Chester,16.0
Clinton,16.3
Colchester,49.1
Colebrook,31.5
Columbia,21.4
Cornwall,46.0
Coventry,37.7
Cromwell,12.4
Danbury,42.1
Darien,12.9
Deep River,13.6
Derby,5.0
Durham,23.6
East Granby,17.5
East Haddam,54.3
East Hampton,35.6
East Hartford,18.0
East Haven,12.3
East Lyme,34.0
East Windsor,26.3
Eastford,28.9
Easton,27.4
Ellington,34.1
Enfield,33.4
Essex,10.4
Fairfield,30.0
Farmington ,28.1
Franklin,19.5
Glastonbury,51.4
Goshen,43.7
Granby,40.7
Greenwich,47.9
Griswold,35.0
Groton,31.3
Guilford,47.2
Haddam,44.0
Hamden,32.8
Hampton,25.0
Hartford,17.3
Hartland,33.0
Harwinton,30.8
Hebron,36.9
Kent,48.5
Killingly,48.5
Killingworth,35.3
Lebanon,54.1
Ledyard,38.1
Lisbon,16.3
Litchfield,56.1
Lyme,31.9
Madison,36.2
Manchester,27.3
Mansfield,44.5
Marlborough,23.3
Meriden,23.7
Middlebury,17.8
Middlefield,12.7
Middletown,40.9
Milford,22.6
Monroe,26.1
Montville,42.0
Morris ,17.2
Naugatuck,16.4
New Britain,13.3
New Canaan,22.1
New Fairfield,20.5
New Hartford,37.0
New Haven,18.9
New London,5.5
New Milford,61.6
Newington,13.2
Newtown,57.8
Norfolk,45.3
North Branford,24.9
North Canaan,19.5
North Haven,20.8
North Stonington,54.3
Norwalk,22.8
Norwich,28.3
Old Lyme,23.1
Old Saybrook,15.0
Orange ,17.2
Oxford,32.9
Plainfield,42.3
Plainville,9.7
Plymouth,21.7
Pomfret,40.3
Portland,23.4
Preston,30.9
Prospect,14.3
Putnam,20.3
Redding,31.5
Ridgefield,34.4
Rocky Hill,13.5
Roxbury,26.2
Salem,29.0
Salisbury,57.3
Scotland,18.6
Seymour,14.6
Sharon,58.7
Shelton,30.6
Sherman,21.8
Simsbury,33.9
Somers,28.3
South Windsor,28.0
Southbury,39.1
Southington,36.0
Sprague,13.2
Stafford,58.0
Stamford,37.7
Sterling,27.2
Stonington,38.7
Stratford,17.6
Suffield,42.2
Thomaston,12.0
Thompson,47.0
Tolland,39.7
Torrington,39.8
Trumbull,23.3
Union,28.7
Vernon,17.7
Voluntown,39.0
Wallingford,39.0
Warren,26.3
Washington,38.2
Waterbury,28.6
Waterford,32.8
Watertown,29.2
West Hartford,22.0
West Haven,10.8
Westbrook,15.7
Weston,19.8
Westport,20.0
Wethersfield,12.4
Willington,33.3
Wilton,27.0
Winchester,32.3
Windham,27.1
Windsor,29.6
Windsor Locks,9.0
Wolcott,20.4
Woodbridge,18.8
Woodbury,36.5
Woodstock,60.5
